Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,5.300000,5.940000,5.300000,5.730000,5.730000,37300
2018-11-19,6.040000,6.100000,5.690000,5.720000,5.720000,66400
2018-11-20,5.620000,5.620000,5.190000,5.350000,5.350000,9800
2018-11-21,5.880000,5.950000,5.880000,5.950000,5.950000,3100
2018-11-23,6.140000,6.170000,6.140000,6.140000,6.140000,28600
2018-11-26,6.130000,6.130000,5.760000,5.780000,5.780000,8900
2018-11-27,5.880000,5.880000,5.620000,5.630000,5.630000,3000
2018-11-28,5.620000,5.620000,5.480000,5.480000,5.480000,3400
2018-11-29,5.500000,5.500000,5.250000,5.460000,5.460000,6000
2018-11-30,5.240000,5.280000,4.810000,4.950000,4.950000,9000
2018-12-03,5.080000,5.130000,4.550000,4.550000,4.550000,14900
2018-12-04,4.480000,4.480000,3.780000,3.800000,3.800000,50700
2018-12-06,4.100000,4.330000,4.040000,4.270000,4.270000,52500
2018-12-07,4.710000,4.710000,4.460000,4.520000,4.520000,5100
2018-12-10,4.520000,4.520000,4.520000,4.520000,4.520000,100
2018-12-11,4.750000,4.810000,4.600000,4.810000,4.810000,5100
2018-12-12,4.920000,5.090000,4.920000,5.000000,5.000000,8500
2018-12-13,5.090000,5.090000,4.770000,4.830000,4.830000,3800
2018-12-14,4.940000,5.000000,4.740000,4.770000,4.770000,7000
2018-12-17,4.710000,4.730000,4.400000,4.430000,4.430000,8600
2018-12-18,4.410000,4.410000,4.240000,4.240000,4.240000,10700
2018-12-19,4.180000,4.210000,3.720000,3.720000,3.720000,21200
2018-12-20,3.990000,3.990000,3.680000,3.780000,3.780000,55100
2018-12-21,3.920000,4.080000,3.600000,3.610000,3.610000,28600
2018-12-24,4.190000,4.290000,4.190000,4.230000,4.230000,7500
2018-12-26,4.230000,4.230000,4.230000,4.230000,4.230000,0
2018-12-27,4.550000,4.610000,4.470000,4.600000,4.600000,9300
2018-12-28,4.880000,5.000000,4.730000,4.830000,4.830000,18300
2018-12-31,5.140000,5.340000,5.120000,5.250000,5.250000,13800
2019-01-02,5.250000,5.400000,5.090000,5.240000,5.240000,34200
2019-01-03,5.240000,5.380000,5.090000,5.270000,5.270000,22100
2019-01-04,5.330000,5.330000,5.150000,5.180000,5.180000,41800
2019-01-07,5.280000,5.490000,5.260000,5.260000,5.260000,41100
2019-01-08,5.400000,5.700000,5.150000,5.250000,5.250000,27400
2019-01-09,5.270000,5.360000,5.170000,5.280000,5.280000,17500
2019-01-10,5.290000,5.380000,5.130000,5.170000,5.170000,49100
2019-01-11,5.190000,5.400000,4.970000,5.150000,5.150000,69000
2019-01-14,5.350000,5.550000,5.140000,5.470000,5.470000,63900
2019-01-15,5.520000,6.530000,5.300000,5.810000,5.810000,91000
2019-01-16,6.160000,6.350000,5.930000,6.140000,6.140000,189600
2019-01-17,6.160000,6.350000,6.140000,6.150000,6.150000,165300
2019-01-18,6.220000,6.360000,6.170000,6.360000,6.360000,125100
2019-01-22,6.490000,6.920000,6.360000,6.430000,6.430000,105000
2019-01-23,6.450000,6.550000,6.240000,6.340000,6.340000,145500
2019-01-24,6.260000,6.350000,6.200000,6.330000,6.330000,29600
2019-01-25,6.180000,6.550000,6.180000,6.500000,6.500000,29400
2019-01-28,6.510000,6.880000,6.490000,6.570000,6.570000,63500
2019-01-29,6.590000,6.650000,6.390000,6.510000,6.510000,28400
2019-01-30,6.730000,6.750000,6.620000,6.740000,6.740000,65400
2019-01-31,6.830000,7.100000,6.750000,6.890000,6.890000,190800
2019-02-01,6.920000,7.900000,6.900000,7.540000,7.540000,404300
2019-02-04,7.620000,8.330000,7.620000,7.990000,7.990000,391400
2019-02-05,8.030000,8.280000,7.300000,7.910000,7.910000,194900
2019-02-06,7.780000,8.110000,7.620000,7.870000,7.870000,127700
2019-02-07,7.730000,8.060000,7.730000,7.920000,7.920000,112000
2019-02-08,8.000000,8.260000,7.880000,8.060000,8.060000,100000
2019-02-11,8.320000,8.410000,7.960000,8.130000,8.130000,176200
2019-02-12,8.110000,8.320000,8.020000,8.280000,8.280000,105000
2019-02-13,8.300000,8.450000,8.230000,8.310000,8.310000,104300
2019-02-14,8.260000,8.260000,7.910000,8.030000,8.030000,159100
2019-02-15,8.070000,8.170000,7.750000,8.010000,8.010000,145100
2019-02-19,8.050000,8.100000,7.720000,7.820000,7.820000,208000
2019-02-20,7.880000,7.890000,7.710000,7.800000,7.800000,147700
2019-02-21,7.750000,8.350000,7.700000,8.100000,8.100000,115500
2019-02-22,8.200000,8.240000,7.960000,8.040000,8.040000,122600
2019-02-25,8.130000,8.220000,7.900000,7.950000,7.950000,268500
2019-02-26,7.890000,7.960000,7.510000,7.840000,7.840000,236000
2019-02-27,7.830000,7.870000,7.600000,7.690000,7.690000,183100
2019-02-28,7.680000,7.750000,7.400000,7.470000,7.470000,147200
2019-03-01,7.370000,7.370000,7.050000,7.260000,7.260000,192200
2019-03-04,7.200000,7.220000,6.610000,6.800000,6.800000,200200
2019-03-05,6.780000,7.260000,6.600000,7.260000,7.260000,86700
2019-03-06,7.100000,7.110000,6.700000,6.810000,6.810000,115600
2019-03-07,6.710000,6.820000,5.940000,5.990000,5.990000,277700
2019-03-08,5.880000,6.440000,5.810000,6.370000,6.370000,284900
2019-03-11,7.090000,9.470000,6.910000,7.150000,7.150000,540200
2019-03-12,7.470000,7.730000,7.200000,7.240000,7.240000,1083100
2019-03-13,7.420000,7.680000,7.350000,7.630000,7.630000,502600
2019-03-14,7.750000,8.030000,7.730000,7.850000,7.850000,594800
2019-03-15,7.940000,8.300000,7.850000,8.210000,8.210000,620100
2019-03-18,8.290000,9.500000,8.220000,8.960000,8.960000,1454200
2019-03-19,9.160000,9.610000,8.750000,8.750000,8.750000,1274900
2019-03-20,8.730000,8.850000,8.220000,8.820000,8.820000,550300
2019-03-21,8.810000,9.670000,8.810000,9.260000,9.260000,505900
2019-03-22,9.380000,9.750000,8.780000,9.710000,9.710000,606900
2019-03-25,9.940000,10.290000,9.490000,9.500000,9.500000,605300
2019-03-26,9.700000,10.100000,9.250000,9.510000,9.510000,360400
2019-03-27,9.180000,9.730000,8.800000,9.500000,9.500000,433700
2019-03-28,9.530000,9.740000,9.020000,9.410000,9.410000,235300
2019-03-29,9.540000,9.680000,9.270000,9.580000,9.580000,231600
2019-04-01,9.960000,10.490000,9.630000,10.270000,10.270000,516500
2019-04-02,10.390000,10.800000,10.020000,10.110000,10.110000,307200
2019-04-03,10.170000,10.590000,10.050000,10.350000,10.350000,335400
2019-04-04,10.640000,10.850000,10.220000,10.240000,10.240000,432700
2019-04-05,10.040000,10.480000,9.600000,9.810000,9.810000,783700
2019-04-08,9.880000,10.040000,9.110000,9.160000,9.160000,563700
2019-04-09,9.290000,9.360000,8.500000,8.820000,8.820000,649000
2019-04-10,9.000000,9.280000,8.870000,9.240000,9.240000,355600
2019-04-11,9.040000,9.160000,8.350000,8.660000,8.660000,642900
2019-04-12,8.700000,8.920000,8.590000,8.710000,8.710000,244200
2019-04-15,8.610000,8.810000,8.340000,8.420000,8.420000,270400
2019-04-16,8.310000,8.480000,7.860000,8.150000,8.150000,668900
2019-04-17,8.390000,9.020000,8.000000,8.930000,8.930000,390900
2019-04-18,9.830000,9.880000,9.070000,9.150000,9.150000,703500
2019-04-22,9.370000,9.620000,9.120000,9.570000,9.570000,548500
2019-04-23,9.760000,10.270000,9.610000,10.070000,10.070000,587900
2019-04-24,10.200000,10.400000,9.850000,10.000000,10.000000,332700
2019-04-25,9.900000,10.120000,9.400000,9.400000,9.400000,380000
2019-04-26,9.680000,9.680000,9.250000,9.330000,9.330000,217200
2019-04-29,9.330000,9.700000,9.100000,9.100000,9.100000,272800
2019-04-30,9.000000,9.210000,8.640000,8.720000,8.720000,360700
2019-05-01,8.660000,8.890000,8.570000,8.750000,8.750000,274900
2019-05-02,9.120000,9.130000,7.860000,8.290000,8.290000,617300
2019-05-03,8.190000,8.500000,8.040000,8.220000,8.220000,284400
2019-05-06,7.870000,8.450000,7.850000,8.180000,8.180000,276700
2019-05-07,8.200000,8.450000,7.800000,8.090000,8.090000,620400
2019-05-08,8.500000,8.500000,8.140000,8.200000,8.200000,314300
2019-05-09,8.120000,8.290000,7.990000,8.050000,8.050000,325300
2019-05-10,8.160000,8.250000,7.930000,8.000000,8.000000,280300
2019-05-13,8.000000,8.000000,7.500000,7.540000,7.540000,445700
2019-05-14,7.730000,7.970000,7.560000,7.830000,7.830000,352900
2019-05-15,8.030000,8.070000,7.450000,7.450000,7.450000,285400
2019-05-16,7.610000,7.720000,7.240000,7.450000,7.450000,243500
2019-05-17,7.480000,7.780000,7.190000,7.590000,7.590000,234600
2019-05-20,7.550000,7.820000,7.360000,7.610000,7.610000,166700
2019-05-21,7.890000,7.890000,7.370000,7.410000,7.410000,147200
2019-05-22,7.450000,7.850000,7.450000,7.650000,7.650000,462500
2019-05-23,7.580000,8.020000,7.370000,7.450000,7.450000,407800
2019-05-24,7.470000,7.670000,7.450000,7.500000,7.500000,182800
2019-05-28,7.630000,7.710000,7.490000,7.600000,7.600000,203600
2019-05-29,7.580000,7.760000,7.140000,7.270000,7.270000,246300
2019-05-30,7.410000,7.570000,7.080000,7.120000,7.120000,147300
2019-05-31,7.230000,7.230000,6.560000,6.700000,6.700000,459200
2019-06-03,6.950000,7.010000,6.380000,6.460000,6.460000,263100
2019-06-04,6.620000,6.850000,6.100000,6.240000,6.240000,756000
2019-06-05,6.500000,6.760000,6.100000,6.630000,6.630000,483300
2019-06-06,6.900000,6.900000,6.140000,6.180000,6.180000,533900
2019-06-07,6.400000,6.550000,6.110000,6.440000,6.440000,344100
2019-06-10,6.450000,6.700000,6.250000,6.290000,6.290000,257800
2019-06-11,6.400000,6.510000,6.240000,6.320000,6.320000,258800
2019-06-12,6.370000,6.420000,6.240000,6.420000,6.420000,146700
2019-06-13,6.410000,6.540000,6.030000,6.130000,6.130000,249700
2019-06-14,6.000000,6.130000,5.500000,5.920000,5.920000,1010300
2019-06-17,6.050000,6.210000,5.770000,5.880000,5.880000,302200
2019-06-18,5.990000,6.170000,5.840000,6.030000,6.030000,172100
2019-06-19,6.120000,6.300000,5.860000,6.290000,6.290000,251400
2019-06-20,6.620000,6.620000,6.350000,6.440000,6.440000,258100
2019-06-21,6.470000,6.480000,6.150000,6.320000,6.320000,211600
2019-06-24,6.530000,6.530000,6.160000,6.190000,6.190000,171400
2019-06-25,6.240000,6.300000,5.860000,6.050000,6.050000,299700
2019-06-26,5.960000,6.310000,5.960000,6.140000,6.140000,124500
2019-06-27,6.300000,6.300000,6.090000,6.160000,6.160000,232600
2019-06-28,6.250000,6.300000,6.160000,6.170000,6.170000,111100
2019-07-01,6.300000,6.370000,6.150000,6.360000,6.360000,386300
2019-07-02,6.360000,6.450000,6.100000,6.130000,6.130000,158400
2019-07-03,6.210000,6.230000,5.980000,6.090000,6.090000,93600
2019-07-05,6.010000,6.110000,5.950000,6.020000,6.020000,90100
2019-07-08,6.030000,6.230000,5.900000,5.950000,5.950000,247800
2019-07-09,6.300000,6.450000,6.040000,6.130000,6.130000,875600
2019-07-10,6.200000,6.340000,6.140000,6.250000,6.250000,264600
2019-07-11,6.300000,6.380000,6.110000,6.120000,6.120000,548400
2019-07-12,6.220000,6.300000,5.720000,5.870000,5.870000,535800
2019-07-15,5.850000,6.000000,5.560000,5.690000,5.690000,452200
2019-07-16,5.690000,5.760000,5.500000,5.540000,5.540000,311200
2019-07-17,5.640000,6.040000,5.270000,5.330000,5.330000,491800
2019-07-18,5.350000,5.570000,5.250000,5.300000,5.300000,278100
2019-07-19,5.390000,5.470000,5.270000,5.400000,5.400000,134400
2019-07-22,5.400000,5.570000,5.360000,5.430000,5.430000,178000
2019-07-23,5.420000,5.660000,5.100000,5.210000,5.210000,294600
2019-07-24,5.110000,5.200000,5.000000,5.120000,5.120000,282600
2019-07-25,5.230000,5.240000,5.020000,5.100000,5.100000,284600
2019-07-26,5.120000,5.640000,5.030000,5.480000,5.480000,336100
2019-07-29,5.480000,5.650000,5.330000,5.370000,5.370000,191300
2019-07-30,4.970000,5.190000,4.770000,5.190000,5.190000,686200
2019-07-31,5.220000,5.600000,5.210000,5.460000,5.460000,278500
2019-08-01,5.620000,5.870000,5.090000,5.290000,5.290000,309600
2019-08-02,5.290000,5.860000,5.180000,5.730000,5.730000,276800
2019-08-05,5.860000,5.860000,5.500000,5.660000,5.660000,133900
2019-08-06,5.700000,5.730000,5.370000,5.380000,5.380000,177800
2019-08-07,5.520000,5.520000,5.190000,5.230000,5.230000,208500
2019-08-08,5.250000,5.290000,5.100000,5.260000,5.260000,240900
2019-08-09,5.430000,5.600000,5.320000,5.420000,5.420000,492300
2019-08-12,5.380000,5.530000,5.240000,5.250000,5.250000,370200
2019-08-13,5.400000,5.900000,5.210000,5.720000,5.720000,353600
2019-08-14,5.650000,5.690000,5.200000,5.230000,5.230000,311400
2019-08-15,5.320000,5.350000,4.650000,4.820000,4.820000,627600
2019-08-16,5.000000,5.110000,4.850000,5.070000,5.070000,349800
2019-08-19,5.100000,5.190000,4.700000,4.820000,4.820000,337600
2019-08-20,4.890000,5.020000,4.730000,4.900000,4.900000,669900
2019-08-21,4.910000,5.000000,4.830000,4.830000,4.830000,313000
2019-08-22,4.850000,4.920000,4.520000,4.590000,4.590000,252000
2019-08-23,4.550000,4.720000,4.530000,4.610000,4.610000,112100
2019-08-26,4.680000,4.790000,4.260000,4.470000,4.470000,413400
2019-08-27,4.460000,4.600000,4.000000,4.340000,4.340000,486000
2019-08-28,4.420000,4.780000,4.080000,4.450000,4.450000,213300
2019-08-29,4.470000,4.750000,4.470000,4.540000,4.540000,167100
2019-08-30,4.600000,4.870000,4.450000,4.870000,4.870000,182000
2019-09-03,4.990000,5.120000,4.700000,5.110000,5.110000,290600
