Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,7.950000,8.340000,7.920000,8.258000,8.258000,432500
2019-09-04,8.520000,8.520000,7.810000,8.016000,8.016000,456100
2019-09-05,8.050000,8.240000,7.850000,8.014000,8.014000,400600
2019-09-06,8.220000,8.405000,7.990000,8.325000,8.325000,361500
2019-09-09,8.370000,8.608000,8.080000,8.310000,8.310000,288900
2019-09-10,8.280000,8.900000,8.250000,8.500000,8.500000,455900
2019-09-11,8.753000,9.469000,8.550000,9.330000,9.330000,519100
2019-09-12,9.330000,9.490000,9.056000,9.200000,9.200000,375300
2019-09-13,9.286000,9.700000,9.250000,9.450000,9.450000,357500
2019-09-16,9.830000,9.830000,9.160000,9.235000,9.235000,250400
2019-09-17,9.240000,9.380000,8.674000,8.731000,8.731000,380600
2019-09-18,8.695000,8.850000,8.499000,8.670000,8.670000,223500
2019-09-19,8.570000,9.020000,8.500000,8.630000,8.630000,185000
2019-09-20,8.840000,8.840000,8.480000,8.590000,8.590000,142200
2019-09-23,8.390000,8.980000,8.390000,8.790000,8.790000,82900
2019-09-24,8.515000,8.800000,8.230000,8.270000,8.270000,334100
2019-09-25,8.420000,8.426000,7.945000,8.030000,8.030000,298200
2019-09-26,8.266000,8.530000,8.190000,8.250000,8.250000,164200
2019-09-27,7.980000,8.394000,7.910000,8.348000,8.348000,195400
2019-09-30,8.463000,8.640000,7.920000,8.200000,8.200000,279000
2019-10-01,8.230000,8.230000,7.950000,8.120000,8.120000,176300
2019-10-02,8.100000,8.750000,7.814000,8.610000,8.610000,377300
2019-10-03,8.960000,9.310000,8.560000,9.220000,9.220000,289900
2019-10-04,9.190000,9.620000,9.190000,9.440000,9.440000,279200
2019-10-07,9.559000,9.700000,9.050000,9.400000,9.400000,178800
2019-10-08,9.238000,9.700000,9.033000,9.470000,9.470000,215700
2019-10-09,9.100000,9.540000,9.100000,9.470000,9.470000,106900
2019-10-10,9.650000,9.650000,9.000000,9.345000,9.345000,197000
2019-10-11,9.250000,9.715000,9.195000,9.534000,9.534000,36900
2019-10-14,9.570000,9.750000,9.510000,9.570000,9.570000,146100
2019-10-15,9.650000,10.300000,9.580000,10.050000,10.050000,269900
2019-10-16,9.970000,10.310000,9.670000,10.110000,10.110000,225200
2019-10-17,10.430000,10.470000,10.099000,10.300000,10.300000,178700
2019-10-18,10.392000,10.400000,10.061000,10.080000,10.080000,92900
2019-10-21,9.920000,10.470000,9.900000,10.100000,10.100000,159800
2019-10-22,10.290000,10.290000,9.830000,10.000000,10.000000,102400
2019-10-23,9.860000,10.250000,9.850000,10.100000,10.100000,84200
2019-10-24,10.230000,10.280000,9.880000,10.110000,10.110000,79700
2019-10-25,10.110000,10.330000,10.048000,10.141000,10.141000,139000
2019-10-28,10.050000,10.450000,10.050000,10.271000,10.271000,109500
2019-10-29,10.090000,10.180000,9.569000,9.870000,9.870000,340600
2019-10-30,9.890000,10.200000,9.700000,10.174000,10.174000,186800
2019-10-31,10.200000,10.370000,9.900000,10.190000,10.190000,149600
2019-11-01,10.230000,10.321000,10.020000,10.230000,10.230000,142900
2019-11-04,10.350000,10.440000,10.230000,10.430000,10.430000,181700
2019-11-05,10.430000,10.440000,10.240000,10.300000,10.300000,102600
2019-11-06,10.230000,10.500000,10.153000,10.420000,10.420000,127600
2019-11-07,10.325000,10.873000,10.325000,10.873000,10.873000,190400
2019-11-08,10.880000,11.339000,10.853000,11.250000,11.250000,207500
2019-11-11,11.700000,11.700000,11.000000,11.050000,11.050000,145200
2019-11-12,10.760000,11.220000,10.400000,10.467000,10.467000,219700
2019-11-13,10.240000,10.480000,10.000000,10.315000,10.315000,151200
2019-11-14,10.110000,10.246000,9.750000,10.225000,10.225000,278500
2019-11-15,9.895000,11.524000,9.895000,11.500000,11.500000,306500
2019-11-18,12.010000,12.250000,11.001000,11.300000,11.300000,554200
2019-11-19,11.749000,12.028000,11.402000,11.539000,11.539000,500100
2019-11-20,11.880000,12.522000,11.575000,12.460000,12.460000,498100
2019-11-21,12.910000,13.000000,12.280000,12.280000,12.280000,488200
2019-11-22,12.250000,12.270000,11.720000,11.950000,11.950000,262200
2019-11-25,12.280000,12.300000,11.715000,11.990000,11.990000,241600
2019-11-26,11.630000,12.190000,11.550000,12.050000,12.050000,214800
2019-11-27,12.040000,12.400000,12.000000,12.245000,12.245000,232900
2019-11-29,12.594000,13.000000,12.470000,12.920000,12.920000,202400
2019-12-02,13.090000,13.300000,12.915000,13.131000,13.131000,284200
2019-12-03,13.170000,13.360000,12.458000,12.848000,12.848000,284100
2019-12-04,12.900000,13.600000,12.900000,13.090000,13.090000,269300
2019-12-05,13.340000,13.570000,13.165000,13.304000,13.304000,204400
2019-12-06,13.240000,13.490000,13.090000,13.300000,13.300000,165600
2019-12-09,13.320000,13.730000,13.080000,13.090000,13.090000,178400
2019-12-10,13.020000,13.050000,12.450000,12.450000,12.450000,333900
2019-12-11,12.250000,12.400000,11.770000,11.900000,11.900000,379600
2019-12-12,11.843000,12.140000,11.738000,12.057000,12.057000,359400
2019-12-13,12.220000,12.360000,11.970000,12.090000,12.090000,275600
2019-12-16,12.000000,12.561000,11.900000,11.911000,11.911000,242200
2019-12-17,11.910000,12.000000,9.183000,10.400000,10.400000,3584600
2019-12-18,10.730000,10.920000,10.094000,10.620000,10.620000,532700
2019-12-19,10.610000,10.890000,10.490000,10.590000,10.590000,274900
2019-12-20,10.400000,10.600000,10.180000,10.413000,10.413000,440700
2019-12-23,10.410000,10.750000,10.270000,10.560000,10.560000,200800
2019-12-24,10.690000,10.690000,10.350000,10.479000,10.479000,81800
